COMID,lat,lon,frac_1,frac_2,frac_3,frac_4,frac_5,frac_6,frac_7,frac_8,frac_9,frac_10,frac_11,frac_12,frac_13,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71022153,52.27606304,-113.8689662,0.006206322,0,0,0,0.000327857,0.00733254,0,0.062492397,0,0.049843524,0,0,0,0.022871565,0.412466347,0.007824737,0.383277506,0.047357175,0
71022160,52.15327494,-113.9637182,0.020159787,0,0,0,0.00040108,0.009748237,0,0.048052534,0,0.034741111,0,0,0,0.013718119,0.77396512,0.003115122,0.046311859,0.049787108,0
71022164,52.07102472,-114.0409003,0.028956298,0,0,0,0,0.001581044,0,0.035505563,0,0.023226283,0,0,0,0.028272714,0.794069529,0.002698859,0.032636516,0.0530532,0
71022165,52.06276679,-114.0697212,0.10005787,0,0,0,0,0.001018977,0,0.01730926,0,0.049464066,0,0,0,0.062767357,0.662400961,0,0.011229233,0.095752269,0
71022168,52.05405671,-114.0967589,0.032444172,0,0,0,0,0,0,0.018457109,0,0.02085723,0,0,0,0.019094897,0.849063396,0.002225131,0.014909497,0.042948529,0
71022170,52.05117433,-114.1287977,0.03162884,0,0,0,0,0,0,0.01292525,0,0.057754856,0,0,0,0.038634669,0.781091034,0.009187586,0.033549342,0.035228446,0
71022198,52.03241609,-114.2582534,0.032381184,0,0,0,0.000149908,0.012025908,0,0.058478817,0,0.031779021,0,0,0,0.033916257,0.527721107,0.007282406,0.0451729,0.251092523,0
71022209,52.04889234,-114.3941099,0.127819583,0,0,0,0.00085981,0.006800625,0,0.042884517,0,0.040810585,0,0,0,0.023300311,0.72211957,0,0.03438881,0.001016185,0
71022220,52.06330829,-114.4630133,0.097285755,0,0,0,0,0.004094403,0,0.121218503,0,0.041222744,0,0,0,0.097134501,0.570843995,0.000587105,0.042048093,0.025564911,0
71022225,52.07641511,-114.5129113,0.255300403,0,0,0,0,0.007743748,0,0.107191257,0,0.030871315,0,0,0,0.212535307,0.354037613,0,0.032084577,0.000235755,0
71022242,52.08646206,-114.6038891,0.091716357,0,0,0,0.002335393,0.01967812,0,0.132007599,0,0.028937731,0,0,0,0.073934346,0.610289216,0.00311516,0.03446858,0.003517483,0
71022248,52.07640393,-114.6498673,0.039448373,0,0,0,0,0.001623102,0,0.110890307,0,0.016501535,0,0,0,0.020635821,0.785982966,0,0.024917893,0,0
