COMID,min,max,mean,median
71022153,849.900024414062,976.200012207031,893.197143554688,884.584017602339
71022160,859.299987792969,970.799987792969,915.923583984375,915.816054798031
71022164,884.799987792969,936.600036621094,912.301208496094,913.374357850025
71022165,888.799987792969,910.400024414062,899.861145019531,900.674615183187
71022168,889.5,949.200012207031,913.4755859375,910.311954887468
71022170,892.600036621094,951,920.798217773438,921.419944922596
71022198,895.700012207031,996.100036621094,945.832580566406,945.965122240254
71022209,956.700012207031,998.5,970.798217773438,972.594890163311
71022220,957.299987792969,1011.90002441406,980.116760253906,980.341828407842
71022225,964.400024414062,1013.40002441406,984.080749511719,985.172719088469
71022242,966.799987792969,1087.90002441406,1027.83471679688,1026.24142697941
71022248,1015.60003662109,1065,1028.84045410156,1026.30475619876
71022253,1019.40002441406,1090,1046.36596679688,1036.85304623421
71022302,896.299987792969,956.799987792969,931.862365722656,938.318034172057
71022305,914.400024414062,947.200012207031,935.580871582031,938.359091265713
71022365,916.5,980.100036621094,947.38818359375,949.274872479574
71022407,914.299987792969,1044.5,959.585998535156,952.018687702323
71022409,1028,1504.40002441406,1215.08239746094,1223.80683876556
71022426,884.799987792969,971.100036621094,930.422607421875,930.87922827061
71022435,916.5,1059.20007324219,978.95947265625,972.503693040034
71022444,892.900024414062,1031.5,950.590148925781,945.101387801498
71022454,955.600036621094,1039.70007324219,980.837280273438,978.123910848811
71022635,894.799987792969,921,905.872741699219,905.684640150134
71022639,897.799987792969,917.100036621094,904.349670410156,904.259840116737
71022647,900.900024414062,947.400024414062,917.98974609375,914.816987922891
71022661,902.100036621094,924.400024414062,909.429077148438,909.496145238109
71022679,904.5,928.200012207031,911.576232910156,911.255227481621
71022693,908.900024414062,977.200012207031,925.009582519531,918.108155888111
71022754,910.100036621094,998.400024414062,958.137329101562,959.444348244758
71022780,915.600036621094,958.700012207031,931.617980957031,929.330830182841
71022911,917.799987792969,1054.5,960.065185546875,958.875832708588
71022945,927.900024414062,965.299987792969,940.338256835938,938.619405668082
71022992,931.100036621094,1083.20007324219,953.809143066406,948.114048779591
71023020,916.600036621094,1057.70007324219,956.506652832031,954.262565854382
71023103,921.400024414062,985.400024414062,955.515930175781,957.537573494109
71023104,933.400024414062,1010.90002441406,945.11767578125,942.435639886743
71023181,936,958.700012207031,946.534362792969,947.327140590123
71023309,925.400024414062,1015.20001220703,974.126892089844,971.096944669761
71023477,939,1007.29998779297,956.321105957031,953.456468963625
71023591,962.5,994,971.720336914062,969.508524020773
71023606,871.5,985.5,939.791931152344,937.683712346328
71023674,934.400024414062,1015.70001220703,981.685607910156,978.806949531945
71023778,947.100036621094,968,953.865478515625,953.499067101845
71023889,908.799987792969,971.5,928.572998046875,922.361683961795
71023895,935.400024414062,1103,961.606994628906,955.815406480871
71023936,947.100036621094,1052.20007324219,982.092712402344,978.505459542329
71023982,968.100036621094,1023.10003662109,987.232482910156,987.031524100938
71023994,930,1007.60003662109,948.769104003906,941.60260755305
71024080,965.600036621094,1075.59997558594,1000.55352783203,997.752376883606
71024082,921.799987792969,1069.90002441406,978.148315429688,965.984837608684
71024128,925.400024414062,1106.70007324219,988.176879882812,978.098624433351
71024198,897.799987792969,981.600036621094,948.229187011719,950.361263341735
71024229,919.5,988.799987792969,946.968566894531,946.454833913329
71024292,932.700012207031,1047.80004882812,961.226928710938,955.16264442046
71024386,938.900024414062,1023.79998779297,958.567687988281,954.08240584594
71024448,1015.10003662109,1208.20007324219,1128.22387695312,1135.20409475148
71024474,1027,1234,1152.34582519531,1161.17232141172
71024483,957.299987792969,1078.59997558594,1014.37127685547,1006.88013866212
71024488,966.799987792969,1134.90002441406,1061.90576171875,1062.99356882195
71024578,889.900024414062,942.600036621094,920.381530761719,918.378510413564
71024598,950.299987792969,989.100036621094,973.469299316406,974.187462875524
71024619,1018.70001220703,1091.20007324219,1058.150390625,1059.35806504885
71024720,948.900024414062,1003.70001220703,976.725830078125,979.038423065395
71024795,967,1015,991.105407714844,990.295528934747
71024843,904.5,986.600036621094,938.516357421875,942.173876483054
71024862,977.900024414062,1085.5,1025.02758789062,1021.1921689908
71024996,904.600036621094,1004.5,942.382690429688,929.429881376384
71025043,919.5,1005.90002441406,968.361877441406,968.173402346525
71025044,941.900024414062,1011,990.640808105469,995.588708227777
71025052,979.400024414062,1018.10003662109,997.587097167969,998.743829366441
71025086,901.299987792969,1003.90002441406,944.902404785156,937.403687138797
71025125,978.299987792969,1024.5,996.8759765625,996.31996320758
71025142,941.700012207031,1013.90002441406,983.411560058594,982.859250474385
71025201,930,1000,953.103393554688,943.523941584619
71025219,977.799987792969,1015.70001220703,1000.60961914062,1001.36307954118
71025298,912,1007.60003662109,954.74169921875,958.358217722478
71025323,935.700012207031,1001.29998779297,975.228515625,981.970186470047
71025411,916.700012207031,994.900024414062,960.087890625,964.202979870931
71025440,968.700012207031,1023.70001220703,988.641540527344,986.814943065007
71025547,935.799987792969,1114.90002441406,963.736267089844,962.446911689546
71025568,939.799987792969,1074,986.384704589844,981.049187441611
71025583,931.900024414062,1080,986.257873535156,987.45597092901
71025693,928.900024414062,1069.90002441406,976.34130859375,967.381307043664
71025799,940.700012207031,1101.80004882812,1037.44982910156,1046.38723119153
71025839,944.900024414062,1089.30004882812,1019.52453613281,1022.10353921404
71025869,931.100036621094,1084.40002441406,975.265075683594,967.445225816471
71025911,944.900024414062,1106.30004882812,1007.94744873047,1003.89976058121
71026015,981.799987792969,1125.09997558594,1051.61120605469,1053.1575665498
71026036,947.299987792969,1112.20007324219,1025.61730957031,1028.23248076625
71026037,982.700012207031,1128.30004882812,1058.44409179688,1062.07395488228
71026134,941.5,1083.09997558594,986.272338867188,988.082591019536
71026193,940.700012207031,1021.70001220703,979.201110839844,981.214500031876
71026196,947,1136.5,1012.07415771484,1007.43131098149
71026344,947.100036621094,1136,1001.82397460938,985.728267716702
71026572,947.100036621094,1097.59997558594,990.867919921875,993.039565451637
71026700,964.799987792969,1069,1005.86975097656,1006.39182351415
71026853,965,1050.59997558594,1007.60711669922,1007.54136036367
71027942,1036.59997558594,1318.09997558594,1159.89196777344,1154.58831912414
71027957,1087.30004882812,1351.30004882812,1204.34362792969,1199.27032159799
71027962,1118.40002441406,1196.70007324219,1143.35778808594,1137.41903994339
71027963,1123.59997558594,1285.20007324219,1185.27783203125,1181.6102957319
71027969,1126.5,1360.59997558594,1236.83642578125,1234.62221483844
71027979,1137.70007324219,1354.30004882812,1210.75964355469,1205.65693853788
71027981,1145.40002441406,1359.40002441406,1224.66882324219,1202.67959317633
71027992,1153.09997558594,1360.20007324219,1251.822265625,1256.02533025629
71028007,1177.30004882812,1551.5,1294.23522949219,1282.01916613227
71028014,1189.70007324219,1394.59997558594,1260.9208984375,1255.1876202327
71028023,1194.09997558594,1487.5,1289.5673828125,1276.80229509381
