COMID,frac_3,frac_8,majority
71022153,1.0,0.0,3
71022160,1.0,0.0,3
71022164,1.0,0.0,3
71022165,1.0,0.0,3
71022168,1.0,0.0,3
71022170,1.0,0.0,3
71022198,1.0,0.0,3
71022209,1.0,0.0,3
71022220,1.0,0.0,3
71022225,1.0,0.0,3
71022242,1.0,0.0,3
71022248,1.0,0.0,3
71022253,1.0,0.0,3
71022302,1.0,0.0,3
71022305,1.0,0.0,3
71022365,1.0,0.0,3
71022407,1.0,0.0,3
71022409,1.0,0.0,3
71022426,1.0,0.0,3
71022435,1.0,0.0,3
71022444,1.0,0.0,3
71022454,1.0,0.0,3
71022635,1.0,0.0,3
71022639,1.0,0.0,3
71022647,1.0,0.0,3
71022661,1.0,0.0,3
71022679,1.0,0.0,3
71022693,1.0,0.0,3
71022754,1.0,0.0,3
71022780,1.0,0.0,3
71022911,1.0,0.0,3
71022945,1.0,0.0,3
71022992,1.0,0.0,3
71023020,1.0,0.0,3
71023103,1.0,0.0,3
71023104,1.0,0.0,3
71023181,1.0,0.0,3
71023309,1.0,0.0,3
71023477,1.0,0.0,3
71023591,1.0,0.0,3
71023606,1.0,0.0,3
71023674,1.0,0.0,3
71023778,1.0,0.0,3
71023889,1.0,0.0,3
71023895,1.0,0.0,3
71023936,1.0,0.0,3
71023982,1.0,0.0,3
71023994,1.0,0.0,3
71024080,1.0,0.0,3
71024082,1.0,0.0,3
71024128,1.0,0.0,3
71024198,1.0,0.0,3
71024229,1.0,0.0,3
71024292,1.0,0.0,3
71024386,1.0,0.0,3
71024448,1.0,0.0,3
71024474,1.0,0.0,3
71024483,1.0,0.0,3
71024488,1.0,0.0,3
71024578,1.0,0.0,3
71024598,1.0,0.0,3
71024619,1.0,0.0,3
71024720,1.0,0.0,3
71024795,1.0,0.0,3
71024843,1.0,0.0,3
71024862,1.0,0.0,3
71024996,1.0,0.0,3
71025043,1.0,0.0,3
71025044,1.0,0.0,3
71025052,1.0,0.0,3
71025086,1.0,0.0,3
71025125,1.0,0.0,3
71025142,1.0,0.0,3
71025201,1.0,0.0,3
71025219,1.0,0.0,3
71025298,1.0,0.0,3
71025323,1.0,0.0,3
71025411,1.0,0.0,3
71025440,1.0,0.0,3
71025547,1.0,0.0,3
71025568,1.0,0.0,3
71025583,1.0,0.0,3
71025693,1.0,0.0,3
71025799,1.0,0.0,3
71025839,1.0,0.0,3
71025869,1.0,0.0,3
71025911,1.0,0.0,3
71026015,1.0,0.0,3
71026036,1.0,0.0,3
