COMID,majority
71022153,3
71022160,3
71022164,3
71022165,3
71022168,3
71022170,3
71022198,3
71022209,3
71022220,3
71022225,3
71022242,3
71022248,3
71022253,3
71022302,3
71022305,3
71022365,3
71022407,3
71022409,3
71022426,3
71022435,3
71022444,3
71022454,3
71022635,3
71022639,3
71022647,3
71022661,3
71022679,3
71022693,3
71022754,3
71022780,3
71022911,3
71022945,3
71022992,3
71023020,3
71023103,3
71023104,3
71023181,3
71023309,3
71023477,3
71023591,3
71023606,3
71023674,3
71023778,3
71023889,3
71023895,3
71023936,3
71023982,3
71023994,3
71024080,3
71024082,3
71024128,3
71024198,3
71024229,3
71024292,3
71024386,3
71024448,3
71024474,3
71024483,3
71024488,3
71024578,3
71024598,3
71024619,3
71024720,3
71024795,3
71024843,3
71024862,3
71024996,3
71025043,3
71025044,3
71025052,3
71025086,3
71025125,3
71025142,3
71025201,3
71025219,3
71025298,3
71025323,3
71025411,3
71025440,3
71025547,3
71025568,3
71025583,3
71025693,3
71025799,3
71025839,3
71025869,3
71025911,3
71026015,3
71026036,3
71026037,3
71026134,3
71026193,3
71026196,3
71026344,3
71026572,3
71026700,3
71026853,3
71027942,3
71027957,3
71027962,3
71027963,3
71027969,3
71027979,3
71027981,3
71027992,3
71028007,3
71028014,3
71028023,3
71028027,3
71028039,3
71028054,3
71028062,3
71028073,3
71028095,3
71028097,3
71028132,3
71028140,3
71028159,3
71028189,3
71028215,3
71028221,3
71028249,3
71028304,3
71028311,3
71028377,3
71028380,3
71028490,3
71028494,3
71028498,3
71028505,3
71028510,3
71028524,3
71028526,3
71028531,3
71028546,3
71028558,3
71028580,3
71028585,3
71028597,3
71028598,3
71028609,3
71028657,3
71028663,3
71028675,3
71028676,3
71028681,3
71028685,3
71028699,3
71028700,3
71028722,3
71028727,3
71028734,3
71028740,3
71028757,3
71028795,3
71028833,3
71028835,3
71028847,3
71028852,3
71028865,3
71028867,3
71028893,3
71028904,3
71028945,3
71028957,3
71028961,3
71028963,3
71028968,3
71028974,3
71028975,3
71029016,3
71029022,3
71029028,3
71029042,3
71029057,3
71029064,3
71029071,3
71029118,3
71029134,3
71029150,3
71029158,3
71029189,3
71029203,3
71029212,3
71029225,3
71029334,3
71029335,3
71029380,3
71029391,3
71029414,3
71029434,3
71029448,3
71029450,3
71029451,3
71029490,3
71029520,3
71029528,3
71029602,3
71029639,3
71029646,3
71029715,3
71029721,3
71029759,3
71029766,3
71029770,3
71029778,3
71029798,3
71029800,3
71029803,3
71029857,3
71029863,3
71029879,3
71029924,3
71029930,3
71029963,3
71029992,3
71030026,3
71030034,3
71030035,3
71030057,3
71030071,3
71030100,3
71030156,3
71030177,3
71030189,3
71030191,3
71030202,3
71030231,3
71030243,3
71030265,3
71030270,3
71030287,3
71030292,3
71030302,3
71030308,3
71030313,3
71030314,3
71030390,3
71030418,3
71030428,3
71030431,3
71030460,3
71030474,3
71030527,3
71030563,3
71030588,3
71030626,3
71030660,3
71030690,3
71030703,3
71030716,3
71030717,3
71030749,3
71030774,3
71030784,3
71030831,3
71030835,3
71030838,3
71030896,3
71030906,3
71030944,3
71030950,3
71031068,3
71031077,3
71031094,3
71031120,3
71031130,3
71031155,3
71031177,3
71031181,3
71031215,3
71031267,3
71031276,3
71031279,3
71031296,3
71031303,3
71031359,3
71031397,3
71031414,3
71031429,3
71031431,3
71031478,3
71031489,3
71031502,3
71031503,3
71031506,3
71031524,3
71031528,3
71031529,3
71031561,3
71031569,3
71031594,3
71031611,3
71031640,3
71031642,3
71031643,3
71031654,3
71031687,3
71031719,3
71031739,3
71031769,3
71031785,3
71031838,3
71031849,3
71031850,8
71031855,3
71031856,3
71031863,3
71031870,3
71031893,3
71031911,3
71031922,3
71031931,3
71031965,3
71031968,3
71031975,3
71031986,3
71032024,3
71032048,3
71032073,3
71032089,3
71032090,3
71032095,3
71032102,3
71032106,3
71032109,3
71032117,3
71032185,0
71032200,3
71032217,3
71032233,3
71032259,3
71032265,3
71032269,3
71032287,3
71032292,3
71032377,3
71032379,3
71032380,3
71032409,3
71032422,3
71032440,3
71032455,3
71032479,3
71032486,3
71032492,3
71032531,3
71032535,3
71032574,3
71032580,3
71032602,3
71032618,3
71032632,3
71032649,3
71032673,3
71032682,3
71032683,3
71032795,3
71032802,3
71032804,3
71032823,3
71032838,3
71032842,3
71032859,3
71032896,3
71032903,3
71032914,3
71032972,3
71032973,3
71033026,3
71033035,3
71033120,3
71033126,3
71033183,3
71033247,3
71033313,3
71033318,3
71033334,3
71033362,3
71033367,3
71034975,3
71035002,3
71035044,3
71035105,3
71035129,3
71035166,3
71035238,3
71035289,3
71035337,3
71035349,3
71035360,3
71035362,3
71035480,3
71035677,3
71035692,3
71035771,3
71035810,3
71035831,0
71035895,3
71035930,3
71035946,3
71035979,3
71036085,3
71036096,3
71036098,3
71036132,3
71036170,3
71036194,3
71036211,3
71036250,3
71036324,3
71036389,3
71036422,3
71036466,3
71037058,3
71037075,3
71037191,3
71037229,3
71037254,3
71037321,3
71037334,3
71037400,3
71037433,3
71037546,3
71037612,3
71037682,3
71037762,3
71037815,3
71037856,3
71037879,3
71037949,3
71037968,3
71037977,3
71037990,3
71038014,3
71038064,3
71038127,8
71038233,3
71038278,3
71038383,3
71038637,3
71038722,3
71038826,3
71038844,3
71038890,3
71038901,3
71038946,3
71038961,3
71039048,3
71039109,3
71039121,3
71039250,3
71039266,3
